"year","territory","oblast_code","title_count","copy_count","territory_ua"
2009,"Kherson","UA65000000000030969",152,42.9,"Херсонська"
2009,"Khmelnytskyi","UA68000000000099709",388,182.3,"Хмельницька"
2009,"Cherkasy","UA71000000000010357",339,168.3,"Черкаська"
2009,"Chernivtsi","UA73000000000044923",469,301.6,"Чернівецька"
2009,"Chernihiv","UA74000000000025378",241,94.1,"Чернігівська"
2010,"Ivano-Frankivsk","UA26000000000069363",203,113.1,"Івано-Франківська"
2010,"Crimea","UA01000000000013043",602,446.4,"Автономна Республіка Крим"
2010,"Volyn","UA07000000000024379",334,641.6,"Волинська"
2010,"Vinnytsia","UA05000000000010236",459,259.4,"Вінницька"
2010,"Dnipro","UA12000000000090473",733,431.4,"Дніпропетровська"
2010,"Donetsk","UA14000000000091971",1464,2867.7,"Донецька"
2010,"Zhytomyr","UA18000000000041385",212,107.6,"Житомирська"
2010,"Zakarpattia","UA21000000000011690",195,97.7,"Закарпатська"
2010,"Zaporizhzhia","UA23000000000064947",350,207.6,"Запорізька"
2010,"Kyiv City","UA80000000000093317",6989,16733.4,"Київ"
2010,"Kyiv Oblast","UA32000000000030281",170,113.9,"Київська"
2010,"Kirovohrad","UA35000000000016081",133,47.5,"Кіровоградська"
2010,"Luhansk","UA44000000000018893",466,207.5,"Луганська"
2010,"Lviv","UA46000000000026241",1424,960.3,"Львівська"
2010,"Mykolaiv","UA48000000000039575",169,54.9,"Миколаївська"
2010,"Odesa","UA51000000000030770",762,373,"Одеська"
2010,"Poltava","UA53000000000028050",278,113.4,"Полтавська"
2010,"Rivne","UA56000000000066151",274,89.6,"Рівненська"
2010,"Sumy","UA59000000000057109",403,191.7,"Сумська"
2010,"Ternopil","UA61000000000060328",822,1127.7,"Тернопільська"
2010,"Kharkiv","UA63000000000041885",4528,18942.8,"Харківська"
2010,"Kherson","UA65000000000030969",125,41.1,"Херсонська"
2010,"Khmelnytskyi","UA68000000000099709",357,190.1,"Хмельницька"
2010,"Cherkasy","UA71000000000010357",408,285.5,"Черкаська"
2010,"Chernivtsi","UA73000000000044923",459,328.1,"Чернівецька"
2010,"Chernihiv","UA74000000000025378",238,85.3,"Чернігівська"
2011,"Ivano-Frankivsk","UA26000000000069363",264,97.2,"Івано-Франківська"
2011,"Crimea","UA01000000000013043",645,351,"Автономна Республіка Крим"
2011,"Volyn","UA07000000000024379",308,182.9,"Волинська"
2011,"Vinnytsia","UA05000000000010236",390,146.8,"Вінницька"
2011,"Dnipro","UA12000000000090473",804,589.8,"Дніпропетровська"
2011,"Donetsk","UA14000000000091971",1348,1908.2,"Донецька"
2011,"Zhytomyr","UA18000000000041385",222,113.4,"Житомирська"
2011,"Zakarpattia","UA21000000000011690",293,117.3,"Закарпатська"
2011,"Zaporizhzhia","UA23000000000064947",421,458.1,"Запорізька"
2011,"Kyiv City","UA80000000000093317",7185,18291.9,"Київ"
2011,"Kyiv Oblast","UA32000000000030281",111,78.8,"Київська"
2011,"Kirovohrad","UA35000000000016081",166,94.8,"Кіровоградська"
2011,"Luhansk","UA44000000000018893",494,169.6,"Луганська"
2011,"Lviv","UA46000000000026241",1373,1170.5,"Львівська"
2011,"Mykolaiv","UA48000000000039575",221,71.4,"Миколаївська"
2011,"Odesa","UA51000000000030770",828,339.7,"Одеська"
2011,"Poltava","UA53000000000028050",297,1116,"Полтавська"
2011,"Rivne","UA56000000000066151",254,109.8,"Рівненська"
2011,"Sumy","UA59000000000057109",461,246.7,"Сумська"
2011,"Ternopil","UA61000000000060328",1023,1703.8,"Тернопільська"
2011,"Kharkiv","UA63000000000041885",3984,18424.8,"Харківська"
2011,"Kherson","UA65000000000030969",135,45.8,"Херсонська"
2011,"Khmelnytskyi","UA68000000000099709",363,185.3,"Хмельницька"
2011,"Cherkasy","UA71000000000010357",442,197.9,"Черкаська"
2011,"Chernivtsi","UA73000000000044923",501,215.5,"Чернівецька"
2011,"Chernihiv","UA74000000000025378",293,138.7,"Чернігівська"
2012,"Ivano-Frankivsk","UA26000000000069363",197,114.3,"Івано-Франківська"
2012,"Crimea","UA01000000000013043",689,451.7,"Автономна Республіка Крим"
2012,"Volyn","UA07000000000024379",293,347.5,"Волинська"
2012,"Vinnytsia","UA05000000000010236",552,209,"Вінницька"
2012,"Dnipro","UA12000000000090473",967,476,"Дніпропетровська"
2012,"Donetsk","UA14000000000091971",1852,3328.3,"Донецька"
2012,"Zhytomyr","UA18000000000041385",224,92.6,"Житомирська"
2012,"Zakarpattia","UA21000000000011690",225,131.6,"Закарпатська"
2012,"Zaporizhzhia","UA23000000000064947",485,211.6,"Запорізька"
2012,"Kyiv City","UA80000000000093317",7537,23411.2,"Київ"
2012,"Kyiv Oblast","UA32000000000030281",149,108.2,"Київська"
2012,"Kirovohrad","UA35000000000016081",184,66.6,"Кіровоградська"
2012,"Luhansk","UA44000000000018893",502,246.7,"Луганська"
2012,"Lviv","UA46000000000026241",1367,1123.7,"Львівська"
2012,"Mykolaiv","UA48000000000039575",173,69.8,"Миколаївська"
2012,"Odesa","UA51000000000030770",726,240.7,"Одеська"
2012,"Poltava","UA53000000000028050",339,119.1,"Полтавська"
2012,"Rivne","UA56000000000066151",261,84.7,"Рівненська"
2012,"Sumy","UA59000000000057109",492,235.3,"Сумська"
2012,"Ternopil","UA61000000000060328",1009,2289.5,"Тернопільська"
2012,"Kharkiv","UA63000000000041885",5885,27817.7,"Харківська"
2012,"Kherson","UA65000000000030969",129,38.6,"Херсонська"
2012,"Khmelnytskyi","UA68000000000099709",475,284.2,"Хмельницька"
2012,"Cherkasy","UA71000000000010357",446,217.1,"Черкаська"
2012,"Chernivtsi","UA73000000000044923",522,248.3,"Чернівецька"
2012,"Chernihiv","UA74000000000025378",356,156.5,"Чернігівська"
2013,"Ivano-Frankivsk","UA26000000000069363",234,134.5,"Івано-Франківська"
2013,"Crimea","UA01000000000013043",730,441,"Автономна Республіка Крим"
2013,"Volyn","UA07000000000024379",317,721.3,"Волинська"
2013,"Vinnytsia","UA05000000000010236",527,236.4,"Вінницька"
2013,"Dnipro","UA12000000000090473",805,458.8,"Дніпропетровська"
2013,"Donetsk","UA14000000000091971",1729,3196.8,"Донецька"
2013,"Zhytomyr","UA18000000000041385",184,75.2,"Житомирська"
2013,"Zakarpattia","UA21000000000011690",163,68.5,"Закарпатська"
2013,"Zaporizhzhia","UA23000000000064947",322,224.6,"Запорізька"
2013,"Kyiv City","UA80000000000093317",7653,29974.4,"Київ"
2013,"Kyiv Oblast","UA32000000000030281",123,65.8,"Київська"
2013,"Kirovohrad","UA35000000000016081",188,113.2,"Кіровоградська"
2013,"Luhansk","UA44000000000018893",366,137.1,"Луганська"
2013,"Lviv","UA46000000000026241",1502,1269.3,"Львівська"
2013,"Mykolaiv","UA48000000000039575",237,67.9,"Миколаївська"
2013,"Odesa","UA51000000000030770",719,487.2,"Одеська"
2013,"Poltava","UA53000000000028050",298,92.3,"Полтавська"
2013,"Rivne","UA56000000000066151",201,72.2,"Рівненська"
2013,"Sumy","UA59000000000057109",511,346.6,"Сумська"
2013,"Ternopil","UA61000000000060328",1023,2660.4,"Тернопільська"
2013,"Kharkiv","UA63000000000041885",6674,27803.1,"Харківська"
2013,"Kherson","UA65000000000030969",267,77.7,"Херсонська"
2013,"Khmelnytskyi","UA68000000000099709",405,313.6,"Хмельницька"
2013,"Cherkasy","UA71000000000010357",460,193.9,"Черкаська"
2013,"Chernivtsi","UA73000000000044923",367,143.3,"Чернівецька"
2013,"Chernihiv","UA74000000000025378",318,200.6,"Чернігівська"
2014,"Ivano-Frankivsk","UA26000000000069363",224,134.7,"Івано-Франківська"
2014,"Crimea","UA01000000000013043",248,120.2,"Автономна Республіка Крим"
2014,"Volyn","UA07000000000024379",257,237.2,"Волинська"
2014,"Vinnytsia","UA05000000000010236",352,128.8,"Вінницька"
2014,"Dnipro","UA12000000000090473",804,402.6,"Дніпропетровська"
2014,"Donetsk","UA14000000000091971",1098,2760.1,"Донецька"
2014,"Zhytomyr","UA18000000000041385",149,58.3,"Житомирська"
2014,"Zakarpattia","UA21000000000011690",229,160.4,"Закарпатська"
2014,"Zaporizhzhia","UA23000000000064947",385,122.7,"Запорізька"
2014,"Kyiv City","UA80000000000093317",6381,20149.9,"Київ"
2014,"Kyiv Oblast","UA32000000000030281",105,56.1,"Київська"
2014,"Kirovohrad","UA35000000000016081",185,65,"Кіровоградська"
2014,"Luhansk","UA44000000000018893",281,101.1,"Луганська"
2014,"Lviv","UA46000000000026241",1360,1175.4,"Львівська"
2014,"Mykolaiv","UA48000000000039575",193,69.3,"Миколаївська"
2014,"Odesa","UA51000000000030770",686,234.4,"Одеська"
2014,"Poltava","UA53000000000028050",246,79.6,"Полтавська"
2014,"Rivne","UA56000000000066151",206,113.6,"Рівненська"
2014,"Sumy","UA59000000000057109",487,525.6,"Сумська"
2014,"Ternopil","UA61000000000060328",963,3987.1,"Тернопільська"
2014,"Kharkiv","UA63000000000041885",5408,23525.7,"Харківська"
2014,"Kherson","UA65000000000030969",290,80.8,"Херсонська"
2014,"Khmelnytskyi","UA68000000000099709",444,308.6,"Хмельницька"
2014,"Cherkasy","UA71000000000010357",469,225.9,"Черкаська"
2014,"Chernivtsi","UA73000000000044923",328,148,"Чернівецька"
2014,"Chernihiv","UA74000000000025378",266,340.9,"Чернігівська"
2015,"Ivano-Frankivsk","UA26000000000069363",273,166.2,"Івано-Франківська"
2015,"Crimea","UA01000000000013043",0,0,"Автономна Республіка Крим"
2015,"Volyn","UA07000000000024379",215,126.8,"Волинська"
2015,"Vinnytsia","UA05000000000010236",397,140.9,"Вінницька"
2015,"Dnipro","UA12000000000090473",738,275.7,"Дніпропетровська"
2015,"Donetsk","UA14000000000091971",297,737.8,"Донецька"
2015,"Zhytomyr","UA18000000000041385",225,90.7,"Житомирська"
2015,"Zakarpattia","UA21000000000011690",197,97.8,"Закарпатська"
2015,"Zaporizhzhia","UA23000000000064947",328,208.5,"Запорізька"
2015,"Kyiv City","UA80000000000093317",6552,14410,"Київ"
