"year","category_type","category_value","measure","value"
2006,"purpose","Інформаційні видання","copy_count",31.3
2006,"purpose","Інформаційні видання","title_count",23
2006,"purpose","Бібліографічні видання","copy_count",74.5
2006,"purpose","Бібліографічні видання","title_count",199
2006,"purpose","Видання для дітей та юнацтва","copy_count",3525.7
2006,"purpose","Видання для дітей та юнацтва","title_count",786
2006,"purpose","Видання для організації дозвілля","copy_count",2740.6
2006,"purpose","Видання для організації дозвілля","title_count",204
2006,"purpose","Громадсько-політичні видання","copy_count",273.9
2006,"purpose","Громадсько-політичні видання","title_count",91
2006,"purpose","Довідкові видання","copy_count",4022.9
2006,"purpose","Довідкові видання","title_count",854
2006,"purpose","Література релігійного змісту","copy_count",911.6
2006,"purpose","Література релігійного змісту","title_count",247
2006,"purpose","Літературно-художні видання для дорослих","copy_count",7956
2006,"purpose","Літературно-художні видання для дорослих","title_count",2410
2006,"purpose","Навчальні та методичні видання","copy_count",24750.5
2006,"purpose","Навчальні та методичні видання","title_count",5611
2006,"purpose","Науково-популярні видання для дорослих","copy_count",5741.5
2006,"purpose","Науково-популярні видання для дорослих","title_count",1159
2006,"purpose","Наукові видання","copy_count",1528.4
2006,"purpose","Наукові видання","title_count",2537
2006,"purpose","Нормативні та виробничо-практичні видання","copy_count",1809.9
2006,"purpose","Нормативні та виробничо-практичні видання","title_count",811
2006,"purpose","Офіційні видання","copy_count",799.4
2006,"purpose","Офіційні видання","title_count",922
2006,"purpose","Рекламні видання","copy_count",43.4
2006,"purpose","Рекламні видання","title_count",13
2006,"territory","Івано-Франківська","copy_count",80.6
2006,"territory","Івано-Франківська","title_count",101
2006,"territory","Автономна Республіка Крим","copy_count",434.1
2006,"territory","Автономна Республіка Крим","title_count",353
2006,"territory","Волинська","copy_count",142
2006,"territory","Волинська","title_count",224
2006,"territory","Вінницька","copy_count",165.3
2006,"territory","Вінницька","title_count",320
2006,"territory","Дніпропетровська","copy_count",542.7
2006,"territory","Дніпропетровська","title_count",482
2006,"territory","Донецька","copy_count",4411.9
2006,"territory","Донецька","title_count",1193
2006,"territory","Житомирська","copy_count",70.3
2006,"territory","Житомирська","title_count",139
2006,"territory","Закарпатська","copy_count",201
2006,"territory","Закарпатська","title_count",149
2006,"territory","Запорізька","copy_count",105.4
2006,"territory","Запорізька","title_count",162
2006,"territory","Київ","copy_count",25298.7
2006,"territory","Київ","title_count",6049
2006,"territory","Київська","copy_count",167.1
2006,"territory","Київська","title_count",94
2006,"territory","Кіровоградська","copy_count",96
2006,"territory","Кіровоградська","title_count",87
2006,"territory","Луганська","copy_count",110.4
2006,"territory","Луганська","title_count",219
2006,"territory","Львівська","copy_count",1566.3
2006,"territory","Львівська","title_count",961
2006,"territory","Миколаївська","copy_count",52.3
2006,"territory","Миколаївська","title_count",150
2006,"territory","Одеська","copy_count",331.3
2006,"territory","Одеська","title_count",595
2006,"territory","Полтавська","copy_count",80.1
2006,"territory","Полтавська","title_count",130
2006,"territory","Рівненська","copy_count",71
2006,"territory","Рівненська","title_count",116
2006,"territory","Сумська","copy_count",151.2
2006,"territory","Сумська","title_count",337
2006,"territory","Тернопільська","copy_count",1313.7
2006,"territory","Тернопільська","title_count",421
2006,"territory","Харківська","copy_count",18143.1
2006,"territory","Харківська","title_count",2619
2006,"territory","Херсонська","copy_count",41.5
2006,"territory","Херсонська","title_count",75
2006,"territory","Хмельницька","copy_count",151.5
2006,"territory","Хмельницька","title_count",258
2006,"territory","Черкаська","copy_count",105.3
2006,"territory","Черкаська","title_count",154
2006,"territory","Чернівецька","copy_count",116.7
2006,"territory","Чернівецька","title_count",312
2006,"territory","Чернігівська","copy_count",160.1
2006,"territory","Чернігівська","title_count",167
2006,"theme","Дитяча література","copy_count",3525.7
2006,"theme","Дитяча література","title_count",0
2006,"theme","Друк у цілому. Книгознавство. Преса. Поліграфія","copy_count",341.4
2006,"theme","Друк у цілому. Книгознавство. Преса. Поліграфія","title_count",0
2006,"theme","Література з освіти і культури","copy_count",21803.6
2006,"theme","Література з освіти і культури","title_count",0
2006,"theme","Література з фізичної культури і спорту","copy_count",263.7
2006,"theme","Література з фізичної культури і спорту","title_count",0
2006,"theme","Література з філологічних наук","copy_count",1517.5
2006,"theme","Література з філологічних наук","title_count",0
2006,"theme","Література універсального змісту","copy_count",491.8
2006,"theme","Література універсального змісту","title_count",0
2006,"theme","Мистецтво. Мистецтвознавство","copy_count",184.2
2006,"theme","Мистецтво. Мистецтвознавство","title_count",0
2006,"theme","Охорона здоров'я. Медична література","copy_count",2206.5
2006,"theme","Охорона здоров'я. Медична література","title_count",0
2006,"theme","Політична і соціально-економічна література","copy_count",8941.3
2006,"theme","Політична і соціально-економічна література","title_count",0
2006,"theme","Природничо-наукова література","copy_count",2039.1
2006,"theme","Природничо-наукова література","title_count",0
2006,"theme","Сільськогосподарська література","copy_count",703.9
2006,"theme","Сільськогосподарська література","title_count",0
2006,"theme","Технічна література","copy_count",4234.9
2006,"theme","Технічна література","title_count",0
2006,"theme","Художня література. Фольклор","copy_count",7956
